gene	rank_tracerx	score_tracerx	prevalence_tracerx	median_ccf_tracerx	rank_dpclust	score_dpclust	prevalence_dpclust	median_ccf_dpclust	rank_freq	freq_score	freq_percent	avg_rank
TP53	2	0.757575757575758	0.595959595959596	1.0	1	0.786026852808379	0.639508928571429	1.00580373916381	1	0.37793887147335425	37.793887147335425	1.3333333333333333
CSMD3	1	0.775757575757576	0.626262626262626	1.0	2	0.673021235521235	0.491071428571429	0.945945945945946	2	0.13411050156739812	13.411050156739812	1.6666666666666667
KRAS	3	0.581818181818182	0.303030303030303	1.0	4	0.526830357142855	0.168526785714286	1.06428571428571	3	0.07699843260188088	7.699843260188088	3.3333333333333335
PTPRD	7	0.527272727272727	0.212121212121212	1.0	7	0.459063806249379	0.155133928571429	0.914958622766304	7	0.051038401253918494	5.10384012539185	7.0
PTPRT	5	0.533333333333333	0.222222222222222	1.0	12	0.450595238095238	0.116071428571429	0.952380952380952	6	0.0515282131661442	5.1528213166144194	7.666666666666667
ASPM	8	0.521212121212121	0.202020202020202	1.0	9	0.453889898933956	0.139508928571429	0.925461354477748	8	0.05025470219435737	5.025470219435737	8.333333333333334
BIRC6	12	0.490909090909091	0.151515151515152	1.0	10	0.451760912698413	0.112723214285714	0.96031746031746	5	0.056818181818181816	5.681818181818182	9.0
ERBB4	10	0.496969696969697	0.161616161616162	1.0	13	0.444999107965607	0.111607142857143	0.945087055628304	11	0.04525862068965517	4.525862068965517	11.333333333333334
EGFR	4	0.577818181818182	0.303030303030303	0.99	18	0.436068917673614	0.0714285714285714	0.983029437041179	15	0.03830329153605016	3.8303291536050157	12.333333333333334
ROS1	6	0.533333333333333	0.222222222222222	1.0	23	0.426022599008686	0.0803571428571429	0.944520783236002	10	0.04535658307210031	4.535658307210031	13.0
NOTCH1	15	0.484848484848485	0.141414141414141	1.0	16	0.437294912056565	0.0703125	0.987768530141412	13	0.0422217868338558	4.2221786833855806	14.666666666666666
HGF	11	0.496969696969697	0.161616161616162	1.0	8	0.454388255950756	0.0926339285714286	0.997019747019747	26	0.025078369905956112	2.507836990595611	15.0
KEAP1	20	0.472727272727273	0.121212121212121	1.0	5	0.498503593326964	0.146205357142857	1.02695094760313	22	0.0274294670846395	2.74294670846395	15.666666666666666
NFE2L2	14	0.484848484848485	0.141414141414141	1.0	11	0.451232247284879	0.0892857142857143	0.994152046783626	24	0.02664576802507837	2.664576802507837	16.333333333333332
ALK	9	0.503030303030303	0.171717171717172	1.0	25	0.424924492433647	0.0658482142857143	0.963538909655545	19	0.031641849529780566	3.1641849529780566	17.666666666666668
